Name,Account number,Date,OldValue,NewValue
TransportCo1,AB0000000,2025-01-01,Blocked,Active
TransportCo1,AB0000000,2025-01-22,Active,Blocked
TransportCo1,AB0000000,2025-01-29,Blocked,Active
TransportCo1,AB0000000,2025-02-12,Active,Blocked
TransportCo2,AB0000001,2025-01-01,Blocked,Active
TransportCo2,AB0000001,2025-01-15,Active,Blocked
TransportCo2,AB0000001,2025-02-05,Blocked,Active
TransportCo2,AB0000001,2025-02-12,Active,Blocked
TransportCo2,AB0000001,2025-03-05,Blocked,Active
TransportCo2,AB0000001,2025-03-26,Active,Blocked
TransportCo3,AB0000002,2025-01-01,Blocked,Active
TransportCo3,AB0000002,2025-01-15,Active,Blocked
TransportCo3,AB0000002,2025-01-29,Blocked,Active
TransportCo3,AB0000002,2025-02-12,Active,Blocked
TransportCo3,AB0000002,2025-02-26,Blocked,Active
TransportCo3,AB0000002,2025-03-12,Active,Blocked
TransportCo3,AB0000002,2025-03-26,Blocked,Active
TransportCo3,AB0000002,2025-04-16,Active,Blocked
TransportCo3,AB0000002,2025-04-23,Blocked,Active
TransportCo3,AB0000002,2025-05-07,Active,Blocked
TransportCo3,AB0000002,2025-05-21,Blocked,Active
TransportCo3,AB0000002,2025-06-04,Active,Blocked
TransportCo3,AB0000002,2025-06-25,Blocked,Active
TransportCo4,AB0000003,2025-01-01,Active,Blocked
TransportCo4,AB0000003,2025-01-22,Blocked,Active
TransportCo4,AB0000003,2025-01-29,Active,Blocked
TransportCo4,AB0000003,2025-02-05,Blocked,Active
TransportCo4,AB0000003,2025-02-26,Active,Blocked
TransportCo4,AB0000003,2025-03-05,Blocked,Active
TransportCo4,AB0000003,2025-03-19,Active,Blocked
TransportCo4,AB0000003,2025-04-09,Blocked,Active
TransportCo4,AB0000003,2025-04-16,Active,Blocked
TransportCo4,AB0000003,2025-05-07,Blocked,Active
TransportCo4,AB0000003,2025-05-21,Active,Blocked
TransportCo4,AB0000003,2025-06-04,Blocked,Active
TransportCo4,AB0000003,2025-06-11,Active,Blocked
TransportCo4,AB0000003,2025-06-18,Blocked,Active
TransportCo4,AB0000003,2025-06-25,Active,Blocked
TransportCo5,AB0000004,2025-01-01,Blocked,Active
TransportCo5,AB0000004,2025-01-22,Active,Blocked
TransportCo6,AB0000005,2025-01-01,Blocked,Active
TransportCo6,AB0000005,2025-01-08,Active,Blocked
TransportCo7,AB0000006,2025-01-01,Blocked,Active
TransportCo7,AB0000006,2025-01-08,Active,Blocked
TransportCo7,AB0000006,2025-01-29,Blocked,Active
TransportCo7,AB0000006,2025-02-05,Active,Blocked
TransportCo7,AB0000006,2025-02-26,Blocked,Active
TransportCo7,AB0000006,2025-03-12,Active,Blocked
TransportCo7,AB0000006,2025-03-19,Blocked,Active
TransportCo7,AB0000006,2025-03-26,Active,Blocked
TransportCo8,AB0000007,2025-01-01,Blocked,Active
TransportCo8,AB0000007,2025-01-22,Active,Blocked
TransportCo8,AB0000007,2025-01-29,Blocked,Active
TransportCo8,AB0000007,2025-02-05,Active,Blocked
TransportCo8,AB0000007,2025-02-26,Blocked,Active
TransportCo8,AB0000007,2025-03-05,Active,Blocked
TransportCo8,AB0000007,2025-03-12,Blocked,Active
TransportCo8,AB0000007,2025-04-02,Active,Blocked
TransportCo8,AB0000007,2025-04-09,Blocked,Active
TransportCo9,AB0000008,2025-01-01,Active,Blocked
TransportCo9,AB0000008,2025-01-08,Blocked,Active
TransportCo9,AB0000008,2025-01-22,Active,Blocked
TransportCo9,AB0000008,2025-02-05,Blocked,Active
TransportCo9,AB0000008,2025-02-26,Active,Blocked
TransportCo10,AB0000009,2025-01-01,Blocked,Active
TransportCo10,AB0000009,2025-01-22,Active,Blocked
TransportCo10,AB0000009,2025-01-29,Blocked,Active
TransportCo10,AB0000009,2025-02-19,Active,Blocked
TransportCo11,AB0000010,2025-01-01,Blocked,Active
TransportCo11,AB0000010,2025-01-15,Active,Blocked
TransportCo11,AB0000010,2025-01-22,Blocked,Active
TransportCo11,AB0000010,2025-02-05,Active,Blocked
TransportCo11,AB0000010,2025-02-19,Blocked,Active
TransportCo11,AB0000010,2025-02-26,Active,Blocked
TransportCo11,AB0000010,2025-03-12,Blocked,Active
TransportCo12,AB0000011,2025-01-01,Active,Blocked
TransportCo12,AB0000011,2025-01-15,Blocked,Active
TransportCo12,AB0000011,2025-02-05,Active,Blocked
TransportCo12,AB0000011,2025-02-19,Blocked,Active
TransportCo12,AB0000011,2025-03-05,Active,Blocked
TransportCo12,AB0000011,2025-03-19,Blocked,Active
TransportCo12,AB0000011,2025-04-02,Active,Blocked
TransportCo12,AB0000011,2025-04-09,Blocked,Active
TransportCo12,AB0000011,2025-04-30,Active,Blocked
TransportCo12,AB0000011,2025-05-21,Blocked,Active
TransportCo12,AB0000011,2025-06-11,Active,Blocked
TransportCo12,AB0000011,2025-07-02,Blocked,Active
TransportCo12,AB0000011,2025-07-23,Active,Blocked
TransportCo12,AB0000011,2025-08-13,Blocked,Active
TransportCo13,AB0000012,2025-01-01,Active,Blocked
TransportCo13,AB0000012,2025-01-08,Blocked,Active
TransportCo13,AB0000012,2025-01-22,Active,Blocked
TransportCo13,AB0000012,2025-02-05,Blocked,Active
TransportCo13,AB0000012,2025-02-12,Active,Blocked
TransportCo13,AB0000012,2025-03-05,Blocked,Active
TransportCo13,AB0000012,2025-03-26,Active,Blocked
TransportCo13,AB0000012,2025-04-16,Blocked,Active
TransportCo13,AB0000012,2025-04-30,Active,Blocked
TransportCo13,AB0000012,2025-05-21,Blocked,Active
TransportCo13,AB0000012,2025-06-11,Active,Blocked
TransportCo13,AB0000012,2025-07-02,Blocked,Active
TransportCo13,AB0000012,2025-07-09,Active,Blocked
TransportCo14,AB0000013,2025-01-01,Blocked,Active
TransportCo14,AB0000013,2025-01-22,Active,Blocked
TransportCo15,AB0000014,2025-01-01,Blocked,Active
TransportCo15,AB0000014,2025-01-15,Active,Blocked
TransportCo15,AB0000014,2025-01-29,Blocked,Active
TransportCo15,AB0000014,2025-02-05,Active,Blocked
TransportCo16,AB0000015,2025-01-01,Blocked,Active
TransportCo16,AB0000015,2025-01-15,Active,Blocked
TransportCo16,AB0000015,2025-02-05,Blocked,Active
TransportCo16,AB0000015,2025-02-12,Active,Blocked
TransportCo16,AB0000015,2025-02-19,Blocked,Active
TransportCo16,AB0000015,2025-03-12,Active,Blocked
TransportCo16,AB0000015,2025-03-26,Blocked,Active
TransportCo16,AB0000015,2025-04-02,Active,Blocked
TransportCo16,AB0000015,2025-04-16,Blocked,Active
TransportCo16,AB0000015,2025-04-30,Active,Blocked
TransportCo16,AB0000015,2025-05-21,Blocked,Active
TransportCo16,AB0000015,2025-06-04,Active,Blocked
TransportCo16,AB0000015,2025-06-18,Blocked,Active
TransportCo17,AB0000016,2025-01-01,Active,Blocked
TransportCo17,AB0000016,2025-01-15,Blocked,Active
TransportCo17,AB0000016,2025-02-05,Active,Blocked
TransportCo17,AB0000016,2025-02-26,Blocked,Active
TransportCo17,AB0000016,2025-03-19,Active,Blocked
TransportCo17,AB0000016,2025-03-26,Blocked,Active
TransportCo17,AB0000016,2025-04-09,Active,Blocked
TransportCo17,AB0000016,2025-04-30,Blocked,Active
TransportCo17,AB0000016,2025-05-21,Active,Blocked
TransportCo17,AB0000016,2025-06-04,Blocked,Active
TransportCo17,AB0000016,2025-06-25,Active,Blocked
TransportCo17,AB0000016,2025-07-16,Blocked,Active
TransportCo17,AB0000016,2025-07-23,Active,Blocked
TransportCo18,AB0000017,2025-01-01,Blocked,Active
TransportCo18,AB0000017,2025-01-22,Active,Blocked
TransportCo18,AB0000017,2025-02-05,Blocked,Active
TransportCo19,AB0000018,2025-01-01,Active,Blocked
TransportCo19,AB0000018,2025-01-22,Blocked,Active
TransportCo19,AB0000018,2025-01-29,Active,Blocked
TransportCo19,AB0000018,2025-02-12,Blocked,Active
TransportCo20,AB0000019,2025-01-01,Active,Blocked
TransportCo20,AB0000019,2025-01-08,Blocked,Active
TransportCo20,AB0000019,2025-01-29,Active,Blocked
TransportCo20,AB0000019,2025-02-12,Blocked,Active
TransportCo20,AB0000019,2025-02-19,Active,Blocked
TransportCo20,AB0000019,2025-02-26,Blocked,Active
TransportCo20,AB0000019,2025-03-05,Active,Blocked
TransportCo20,AB0000019,2025-03-12,Blocked,Active
TransportCo21,AB0000020,2025-01-01,Active,Blocked
TransportCo21,AB0000020,2025-01-08,Blocked,Active
TransportCo21,AB0000020,2025-01-29,Active,Blocked
TransportCo21,AB0000020,2025-02-12,Blocked,Active
TransportCo21,AB0000020,2025-02-19,Active,Blocked
TransportCo21,AB0000020,2025-02-26,Blocked,Active
TransportCo21,AB0000020,2025-03-12,Active,Blocked
TransportCo21,AB0000020,2025-03-26,Blocked,Active
TransportCo21,AB0000020,2025-04-09,Active,Blocked
TransportCo21,AB0000020,2025-04-23,Blocked,Active
TransportCo21,AB0000020,2025-05-14,Active,Blocked
TransportCo21,AB0000020,2025-05-21,Blocked,Active
TransportCo21,AB0000020,2025-06-04,Active,Blocked
TransportCo21,AB0000020,2025-06-11,Blocked,Active
TransportCo22,AB0000021,2025-01-01,Active,Blocked
TransportCo22,AB0000021,2025-01-08,Blocked,Active
TransportCo22,AB0000021,2025-01-15,Active,Blocked
TransportCo22,AB0000021,2025-02-05,Blocked,Active
TransportCo22,AB0000021,2025-02-19,Active,Blocked
TransportCo22,AB0000021,2025-03-05,Blocked,Active
TransportCo22,AB0000021,2025-03-26,Active,Blocked
TransportCo22,AB0000021,2025-04-16,Blocked,Active
TransportCo22,AB0000021,2025-04-30,Active,Blocked
TransportCo22,AB0000021,2025-05-07,Blocked,Active
TransportCo23,AB0000022,2025-01-01,Active,Blocked
TransportCo23,AB0000022,2025-01-08,Blocked,Active
TransportCo23,AB0000022,2025-01-29,Active,Blocked
TransportCo23,AB0000022,2025-02-12,Blocked,Active
TransportCo23,AB0000022,2025-03-05,Active,Blocked
TransportCo23,AB0000022,2025-03-26,Blocked,Active
TransportCo23,AB0000022,2025-04-16,Active,Blocked
TransportCo24,AB0000023,2025-01-01,Blocked,Active
TransportCo25,AB0000024,2025-01-01,Active,Blocked
TransportCo25,AB0000024,2025-01-15,Blocked,Active
TransportCo25,AB0000024,2025-02-05,Active,Blocked
TransportCo25,AB0000024,2025-02-26,Blocked,Active
TransportCo25,AB0000024,2025-03-12,Active,Blocked
TransportCo26,AB0000025,2025-01-01,Blocked,Active
TransportCo26,AB0000025,2025-01-15,Active,Blocked
TransportCo26,AB0000025,2025-01-22,Blocked,Active
TransportCo26,AB0000025,2025-02-05,Active,Blocked
TransportCo26,AB0000025,2025-02-19,Blocked,Active
TransportCo26,AB0000025,2025-02-26,Active,Blocked
TransportCo26,AB0000025,2025-03-12,Blocked,Active
TransportCo26,AB0000025,2025-04-02,Active,Blocked
TransportCo26,AB0000025,2025-04-16,Blocked,Active
TransportCo26,AB0000025,2025-05-07,Active,Blocked
TransportCo26,AB0000025,2025-05-28,Blocked,Active
TransportCo26,AB0000025,2025-06-04,Active,Blocked
TransportCo26,AB0000025,2025-06-25,Blocked,Active
TransportCo27,AB0000026,2025-01-01,Active,Blocked
TransportCo28,AB0000027,2025-01-01,Blocked,Active
TransportCo28,AB0000027,2025-01-22,Active,Blocked
TransportCo28,AB0000027,2025-01-29,Blocked,Active
TransportCo28,AB0000027,2025-02-05,Active,Blocked
TransportCo28,AB0000027,2025-02-19,Blocked,Active
TransportCo28,AB0000027,2025-03-12,Active,Blocked
TransportCo28,AB0000027,2025-04-02,Blocked,Active
TransportCo28,AB0000027,2025-04-23,Active,Blocked
TransportCo28,AB0000027,2025-05-14,Blocked,Active
TransportCo28,AB0000027,2025-06-04,Active,Blocked
TransportCo28,AB0000027,2025-06-11,Blocked,Active
TransportCo28,AB0000027,2025-06-25,Active,Blocked
TransportCo28,AB0000027,2025-07-02,Blocked,Active
TransportCo29,AB0000028,2025-01-01,Active,Blocked
TransportCo29,AB0000028,2025-01-08,Blocked,Active
TransportCo29,AB0000028,2025-01-22,Active,Blocked
TransportCo29,AB0000028,2025-02-12,Blocked,Active
TransportCo29,AB0000028,2025-02-26,Active,Blocked
TransportCo29,AB0000028,2025-03-19,Blocked,Active
TransportCo29,AB0000028,2025-04-02,Active,Blocked
TransportCo29,AB0000028,2025-04-09,Blocked,Active
TransportCo29,AB0000028,2025-04-23,Active,Blocked
TransportCo29,AB0000028,2025-04-30,Blocked,Active
TransportCo29,AB0000028,2025-05-21,Active,Blocked
TransportCo29,AB0000028,2025-06-04,Blocked,Active
TransportCo30,AB0000029,2025-01-01,Active,Blocked
TransportCo30,AB0000029,2025-01-15,Blocked,Active
TransportCo30,AB0000029,2025-01-29,Active,Blocked
TransportCo30,AB0000029,2025-02-05,Blocked,Active
TransportCo30,AB0000029,2025-02-26,Active,Blocked
TransportCo30,AB0000029,2025-03-05,Blocked,Active
TransportCo31,AB0000030,2025-01-01,Active,Blocked
TransportCo31,AB0000030,2025-01-22,Blocked,Active
TransportCo31,AB0000030,2025-02-12,Active,Blocked
TransportCo31,AB0000030,2025-03-05,Blocked,Active
TransportCo31,AB0000030,2025-03-19,Active,Blocked
TransportCo31,AB0000030,2025-04-02,Blocked,Active
TransportCo31,AB0000030,2025-04-23,Active,Blocked
TransportCo31,AB0000030,2025-04-30,Blocked,Active
TransportCo31,AB0000030,2025-05-14,Active,Blocked
TransportCo31,AB0000030,2025-05-28,Blocked,Active
TransportCo31,AB0000030,2025-06-18,Active,Blocked
TransportCo31,AB0000030,2025-07-09,Blocked,Active
TransportCo31,AB0000030,2025-07-30,Active,Blocked
TransportCo31,AB0000030,2025-08-20,Blocked,Active
TransportCo31,AB0000030,2025-09-10,Active,Blocked
TransportCo32,AB0000031,2025-01-01,Blocked,Active
TransportCo32,AB0000031,2025-01-15,Active,Blocked
TransportCo32,AB0000031,2025-01-22,Blocked,Active
TransportCo32,AB0000031,2025-02-05,Active,Blocked
TransportCo32,AB0000031,2025-02-26,Blocked,Active
TransportCo32,AB0000031,2025-03-12,Active,Blocked
TransportCo32,AB0000031,2025-04-02,Blocked,Active
TransportCo33,AB0000032,2025-01-01,Active,Blocked
TransportCo33,AB0000032,2025-01-08,Blocked,Active
TransportCo33,AB0000032,2025-01-22,Active,Blocked
TransportCo33,AB0000032,2025-02-12,Blocked,Active
TransportCo33,AB0000032,2025-02-19,Active,Blocked
TransportCo33,AB0000032,2025-02-26,Blocked,Active
TransportCo33,AB0000032,2025-03-12,Active,Blocked
TransportCo33,AB0000032,2025-03-19,Blocked,Active
TransportCo34,AB0000033,2025-01-01,Active,Blocked
TransportCo34,AB0000033,2025-01-08,Blocked,Active
TransportCo34,AB0000033,2025-01-22,Active,Blocked
TransportCo34,AB0000033,2025-01-29,Blocked,Active
TransportCo34,AB0000033,2025-02-19,Active,Blocked
TransportCo34,AB0000033,2025-03-05,Blocked,Active
TransportCo34,AB0000033,2025-03-12,Active,Blocked
TransportCo34,AB0000033,2025-04-02,Blocked,Active
TransportCo35,AB0000034,2025-01-01,Active,Blocked
TransportCo35,AB0000034,2025-01-22,Blocked,Active
TransportCo35,AB0000034,2025-02-12,Active,Blocked
TransportCo35,AB0000034,2025-02-19,Blocked,Active
TransportCo35,AB0000034,2025-03-05,Active,Blocked
TransportCo35,AB0000034,2025-03-12,Blocked,Active
TransportCo35,AB0000034,2025-03-19,Active,Blocked
TransportCo35,AB0000034,2025-04-09,Blocked,Active
TransportCo36,AB0000035,2025-01-01,Active,Blocked
TransportCo36,AB0000035,2025-01-08,Blocked,Active
TransportCo36,AB0000035,2025-01-29,Active,Blocked
TransportCo36,AB0000035,2025-02-12,Blocked,Active
TransportCo37,AB0000036,2025-01-01,Active,Blocked
TransportCo37,AB0000036,2025-01-15,Blocked,Active
TransportCo37,AB0000036,2025-01-29,Active,Blocked
TransportCo37,AB0000036,2025-02-19,Blocked,Active
TransportCo37,AB0000036,2025-02-26,Active,Blocked
TransportCo37,AB0000036,2025-03-19,Blocked,Active
TransportCo37,AB0000036,2025-04-02,Active,Blocked
TransportCo37,AB0000036,2025-04-09,Blocked,Active
TransportCo37,AB0000036,2025-04-30,Active,Blocked
TransportCo37,AB0000036,2025-05-21,Blocked,Active
TransportCo38,AB0000037,2025-01-01,Active,Blocked
TransportCo38,AB0000037,2025-01-22,Blocked,Active
TransportCo38,AB0000037,2025-01-29,Active,Blocked
TransportCo38,AB0000037,2025-02-12,Blocked,Active
TransportCo38,AB0000037,2025-03-05,Active,Blocked
TransportCo38,AB0000037,2025-03-19,Blocked,Active
TransportCo38,AB0000037,2025-03-26,Active,Blocked
TransportCo38,AB0000037,2025-04-02,Blocked,Active
TransportCo38,AB0000037,2025-04-16,Active,Blocked
TransportCo38,AB0000037,2025-05-07,Blocked,Active
TransportCo38,AB0000037,2025-05-14,Active,Blocked
TransportCo39,AB0000038,2025-01-01,Blocked,Active
TransportCo39,AB0000038,2025-01-15,Active,Blocked
TransportCo39,AB0000038,2025-01-29,Blocked,Active
TransportCo39,AB0000038,2025-02-05,Active,Blocked
TransportCo39,AB0000038,2025-02-19,Blocked,Active
TransportCo39,AB0000038,2025-03-12,Active,Blocked
TransportCo39,AB0000038,2025-03-19,Blocked,Active
TransportCo39,AB0000038,2025-03-26,Active,Blocked
TransportCo39,AB0000038,2025-04-09,Blocked,Active
TransportCo39,AB0000038,2025-04-30,Active,Blocked
TransportCo39,AB0000038,2025-05-21,Blocked,Active
TransportCo40,AB0000039,2025-01-01,Active,Blocked
TransportCo40,AB0000039,2025-01-15,Blocked,Active
TransportCo40,AB0000039,2025-01-22,Active,Blocked
TransportCo40,AB0000039,2025-02-12,Blocked,Active
TransportCo40,AB0000039,2025-02-26,Active,Blocked
TransportCo40,AB0000039,2025-03-05,Blocked,Active
TransportCo40,AB0000039,2025-03-19,Active,Blocked
TransportCo40,AB0000039,2025-03-26,Blocked,Active
TransportCo40,AB0000039,2025-04-09,Active,Blocked
TransportCo40,AB0000039,2025-04-30,Blocked,Active
TransportCo41,AB0000040,2025-01-01,Active,Blocked
TransportCo41,AB0000040,2025-01-15,Blocked,Active
TransportCo41,AB0000040,2025-02-05,Active,Blocked
TransportCo41,AB0000040,2025-02-12,Blocked,Active
TransportCo41,AB0000040,2025-02-19,Active,Blocked
TransportCo41,AB0000040,2025-02-26,Blocked,Active
TransportCo41,AB0000040,2025-03-12,Active,Blocked
TransportCo41,AB0000040,2025-03-26,Blocked,Active
TransportCo41,AB0000040,2025-04-16,Active,Blocked
TransportCo41,AB0000040,2025-05-07,Blocked,Active
TransportCo42,AB0000041,2025-01-01,Active,Blocked
TransportCo42,AB0000041,2025-01-22,Blocked,Active
TransportCo42,AB0000041,2025-01-29,Active,Blocked
TransportCo42,AB0000041,2025-02-19,Blocked,Active
TransportCo42,AB0000041,2025-02-26,Active,Blocked
TransportCo42,AB0000041,2025-03-12,Blocked,Active
TransportCo42,AB0000041,2025-04-02,Active,Blocked
TransportCo42,AB0000041,2025-04-16,Blocked,Active
TransportCo42,AB0000041,2025-04-30,Active,Blocked
TransportCo42,AB0000041,2025-05-14,Blocked,Active
TransportCo42,AB0000041,2025-06-04,Active,Blocked
TransportCo43,AB0000042,2025-01-01,Blocked,Active
TransportCo43,AB0000042,2025-01-22,Active,Blocked
TransportCo43,AB0000042,2025-02-12,Blocked,Active
TransportCo43,AB0000042,2025-02-26,Active,Blocked
TransportCo43,AB0000042,2025-03-19,Blocked,Active
TransportCo43,AB0000042,2025-03-26,Active,Blocked
TransportCo43,AB0000042,2025-04-09,Blocked,Active
TransportCo43,AB0000042,2025-04-30,Active,Blocked
TransportCo43,AB0000042,2025-05-21,Blocked,Active
TransportCo43,AB0000042,2025-06-04,Active,Blocked
TransportCo44,AB0000043,2025-01-01,Blocked,Active
TransportCo44,AB0000043,2025-01-15,Active,Blocked
TransportCo44,AB0000043,2025-01-22,Blocked,Active
TransportCo44,AB0000043,2025-01-29,Active,Blocked
TransportCo44,AB0000043,2025-02-12,Blocked,Active
TransportCo44,AB0000043,2025-03-05,Active,Blocked
TransportCo44,AB0000043,2025-03-26,Blocked,Active
TransportCo44,AB0000043,2025-04-16,Active,Blocked
TransportCo44,AB0000043,2025-04-30,Blocked,Active
TransportCo44,AB0000043,2025-05-07,Active,Blocked
TransportCo44,AB0000043,2025-05-28,Blocked,Active
TransportCo44,AB0000043,2025-06-11,Active,Blocked
TransportCo45,AB0000044,2025-01-01,Blocked,Active
TransportCo46,AB0000045,2025-01-01,Active,Blocked
TransportCo46,AB0000045,2025-01-22,Blocked,Active
TransportCo46,AB0000045,2025-01-29,Active,Blocked
TransportCo46,AB0000045,2025-02-12,Blocked,Active
TransportCo46,AB0000045,2025-02-19,Active,Blocked
TransportCo46,AB0000045,2025-03-05,Blocked,Active
TransportCo47,AB0000046,2025-01-01,Active,Blocked
TransportCo47,AB0000046,2025-01-22,Blocked,Active
TransportCo47,AB0000046,2025-02-12,Active,Blocked
TransportCo47,AB0000046,2025-02-19,Blocked,Active
TransportCo47,AB0000046,2025-03-12,Active,Blocked
TransportCo47,AB0000046,2025-04-02,Blocked,Active
TransportCo48,AB0000047,2025-01-01,Active,Blocked
TransportCo48,AB0000047,2025-01-15,Blocked,Active
TransportCo48,AB0000047,2025-02-05,Active,Blocked
TransportCo48,AB0000047,2025-02-12,Blocked,Active
TransportCo48,AB0000047,2025-02-19,Active,Blocked
TransportCo48,AB0000047,2025-02-26,Blocked,Active
TransportCo48,AB0000047,2025-03-05,Active,Blocked
TransportCo48,AB0000047,2025-03-19,Blocked,Active
TransportCo48,AB0000047,2025-04-09,Active,Blocked
TransportCo49,AB0000048,2025-01-01,Blocked,Active
TransportCo49,AB0000048,2025-01-15,Active,Blocked
TransportCo49,AB0000048,2025-01-29,Blocked,Active
TransportCo49,AB0000048,2025-02-12,Active,Blocked
TransportCo49,AB0000048,2025-03-05,Blocked,Active
TransportCo49,AB0000048,2025-03-12,Active,Blocked
TransportCo49,AB0000048,2025-04-02,Blocked,Active
TransportCo49,AB0000048,2025-04-09,Active,Blocked
TransportCo49,AB0000048,2025-04-30,Blocked,Active
TransportCo49,AB0000048,2025-05-21,Active,Blocked
TransportCo49,AB0000048,2025-06-04,Blocked,Active
